낚시터명,낚시터유형,소재지도로명주소,WGS84위도,WGS84경도,주요어종,이용요금,데이터기준일자
창포연못낚시터,평지,경기도 남양주시 진건우회로120번길 82-2,37.6453,127.1838,-,20000,2025-03-19
남양낚시터,평지,경기도 남양주시 와부읍 석실로592번길 60,37.6157,127.2163,-,20000,2025-03-19
월문낚시터,평지,경기도 남양주시 와부읍 수레로661번안길 95,37.6246,127.2759,-,20000,2025-03-19
진벌낚시공원,평지,경기도 남양주시 진접읍 진벌리 324,37.7346,127.2276,-,"20,000",2025-03-19
배양낚시터,저수지,경기도 남양주시 진건읍 고재로191번길 64-17,37.639,127.1871,-,25000,2025-03-19
화도낚시터,저수지,경기도 남양주시 화도읍 경춘로2414번길 50-14,37.6554,127.3601,-,20000,2025-03-19
의왕시 낚시터 없음,기타,"경기도 의왕시 시청로 11, 의왕시청 (고천동)",,,없음,,2024-07-24
아방리낚시터,저수지,경기도 광명시 범안로 740-12 (노온사동),37.4425983,126.856398,잉어+붕어,"30,000원",2023-05-17
샘터낚시터,저수지,경기도 광명시 장절로 96-33 (노온사동),37.4313547,126.8571543,잉어+붕어,"25,000원",2023-05-17
못난이샤크 실내바다낚시터,기타,"경기도 광명시 광명로 858, 지하1층 (광명동)",37.4756438,126.852954,잉어+붕어,"38,000원(2시간, 부가세별도)",2023-05-17
노진낚시터,저수지,경기도 화성시 장안면 노진리 1467 외 2필지,37.02226239,126.8152478,붕어+잉어,"25,000",2024-08-02
대성낚시터,저수지,경기도 화성시 팔탄면 녹막말길9번길 199,37.17188889,126.8660989,붕어+잉어,"15,000",2024-08-02
용주골낚시터,저수지,경기도 화성시 황계남길 15,37.21157743,127.0086725,붕어+잉어,"25,000",2024-08-02
기천낚시터,저수지,경기도 화성시 봉담읍 건달산로 309-33,37.19629691,126.9117052,붕어+잉어,"25,000",2024-08-02
관리낚시터,저수지,경기도 화성시 향남읍 동오리 545-1 외 3필지,37.13297478,126.9457119,붕어+잉어,"30,000",2024-08-02
버들낚시터,저수지,경기도 화성시 장안면 버들안길 3,37.12872541,126.8353876,붕어+잉어,"20,000",2024-08-02
어천낚시터,저수지,경기도 화성시 매송면 어사로 47,37.25528976,126.9144635,붕어+잉어,"25,000",2024-08-02
새봉낚시터,저수지,경기도 화성시 정남면 세자로303번길 46,37.1947972,126.9760645,붕어+잉어,"30,000",2024-08-02
신촌낚시터,저수지,경기도 화성시 매송면 매송북길 179,37.28422966,126.9017887,붕어+잉어,"15,000",2024-08-02
조암낚시터,저수지,경기도 화성시 우정읍 한뿌리1길 157-25,37.09650621,126.8021179,붕어+잉어,"15,000",2024-08-02
송라낚시터,저수지,경기도 화성시 매송면 매송북길 179,37.28422966,126.9017887,붕어+잉어,"15,000",2024-08-02
동방낚시터,저수지,경기도 화성시 팔탄면 노하길116번길 198,37.15153123,126.8634678,붕어+잉어,"15,000",2024-08-02
안석낚시터,저수지,경기도 화성시 남양읍 활초길 214-17,37.16005343,126.8344179,붕어+잉어,"25,000",2024-08-02
은수포낚시터,저수지,경기도 화성시 서신면 은수포길 194,37.19982403,126.6914026,붕어+잉어,"20,000",2024-08-02
덕우낚시터,저수지,경기도 화성시 봉담읍 삼천병마로 709,37.17108351,126.9358869,붕어+잉어,"20,000",2024-08-02
당골낚시터,저수지,경기도 화성시 장안면 장안리 35 외 6필지,37.05532018,126.8664096,붕어+잉어,"25,000",2024-08-02
화성대어낚시터,저수지,경기도 화성시 비봉면 비봉로528번길 40,37.26042685,126.8529977,붕어+잉어,"20,000",2024-08-02
초당낚시터,저수지,경기도 화성시 봉담읍 주석로 891-21,37.20057681,126.911655,붕어+잉어,"15,000",2024-08-02
성지골낚시터,저수지,경기도 화성시 서신면 장외리 214-2 외 4필지,37.17196949,126.6702362,붕어+잉어,"20,000",2024-08-02
양석낚시터,저수지,경기도 화성시 향남읍 하길리 504-1 외 2필지,37.10886824,126.9240506,붕어+잉어,"20,000",2024-08-02
스타바다좌대낚시터,바다,경기도 화성시 서신면 송교리 405-1 외 1필지,37.1705191,126.6577333,돔류,"60,000",2024-08-02
서신레저바다낚시터,바다,경기도 화성시 서신면 화남공단로 79,37.16170633,126.6814562,돔류,"70,000",2024-08-02
국화리해상좌대낚시터,바다,경기도 화성시 우정읍 국화길 2,37.06090765,126.5593612,우럭,"20,000",2024-08-02
매송낚시터,저수지,경기도 화성시 매송면 매송로330번길 50,37.26439417,126.8864237,메기+붕어,"50,000",2024-08-02
죠스실내낚시카페,기타,경기도 화성시 효행로 1051,37.21465039,127.0417616,돔류,"11,000",2024-08-02
화성락실내바다낚시터,기타,경기도 화성시 봉담읍 하가등리 379-12,37.14559335,126.9308477,돔류,"33,000",2024-08-02
송라손맛터,저수지,경기도 화성시 매송면 송라리 380-1 외 2필지,37.281175,126.895676,붕어+잉어,"10,000",2024-08-02
시화힐링낚시터,기타,경기도 화성시 안녕남로58번길 4,37.196444,126.989738,돔류,"20,000",2024-08-02
뚜루실내바다낚시터,기타,경기도 화성시 비봉면 쌍학길 75,37.242891,126.897376,돔류,"40,000",2024-08-02
기안실내바다낚시터,기타,경기도 화성시 기안동로 48-4 (기안동),37.22982549,126.9888555,돔류,"60,000",2024-08-02
형제수산낚시터,기타,경기도 화성시 서신면 매화1길 71,37.17381111,126.7062272,장어,"100,000",2024-08-02
앵글러실내낚시터,기타,경기도 화성시 동탄대로 446(동탄역 그란비아스타),37.1934,127.10006,돔류,"12,000",2024-08-02
도깨비 낚시터,기타,"경기도 화성시 10용사로 336-9(능동), B동 1층",37.1979,127.0545,붕어+잉어,"55,000",2024-08-02
비봉 낚시터,기타,경기도 화성시 비봉면 쌍학리 776,37.2262,126.8958,붕어,"20,000",2024-08-02
본죽낚시터,저수지,경기도 이천시 율면 주래본죽로 508-1,37.08,127.52,붕어,20000,2024-07-26
학암낚시터,저수지,경기도 이천시 신둔면 이장로311번길 490,37.28,127.37,붕어+향어+잉어,30000,2024-07-26
고담낚시터,저수지,경기도 이천시 진상미로2192번길 217,37.23,127.46,붕어,30000,2024-07-26
각평낚시터,저수지,경기도 이천시 마장면 덕이로154번길 273,37.23,127.38,붕어+잉어+메기,30000,2024-07-26
용면파크낚시터,저수지,,37.29,127.36,붕어+향어+잉어+메기+빙어,30000,2024-07-26
용풍낚시터,저수지,,37.12,127.59,붕어+가물치,30000,2024-07-26
성호낚시터,저수지,,37.13,127.53,붕어+잉어+동자개,25000,2024-07-26
신 기,저수지,경기도 용인시 처인구 남동 542,37.219866,127.1912656,붕어+잉어+향어,40000원,2024-07-16
한 터,저수지,경기도 용인시 처인구 양지면 대대리 639-1,37.2599235,127.276299,붕어+잉어+향어,20000원,2024-07-16
상 덕,저수지,경기도 용인시 처인구 이동읍 서리 873,37.2149397,127.1636173,붕어+잉어,20000원,2024-07-16
삼 인,저수지,경기도 용인시 처인구 남사읍 북리 369,37.1583712,127.141521,붕어+잉어,50000원,2024-07-16
두 창,저수지,경기도 용인시 처인구 원삼면 두창리 1393,37.1489493,127.3348678,붕어+잉어+향어,25000원,2024-07-16
아 곡,저수지,경기도 용인시 처인구 백암면 고안리 산153,37.131062,127.4165405,붕어+잉어+향어,30000원,2024-07-16
동 막,저수지,경기도 용인시 처인구 남사읍 통삼리 646-16,37.1446296,127.1325699,붕어+잉어+향어,20000원,2024-07-16
창 리,저수지,경기도 용인시 처인구 남사읍 창리 377-8,37.1400831,127.1846965,붕어+잉어,80000원,2024-07-16
요덕골,저수지,경기도 용인시 처인구 이동읍 송전리 41,37.1373894,127.2199263,붕어+잉어+향어,60000원,2024-07-16
신 원,저수지,경기도 용인시 처인구 이동읍 묵리 346,37.1649538,127.2516595,붕어+잉어+향어,60000원,2024-07-16
사계절,저수지,경기도 용인시 처인구 이동읍 송전리 984,37.1343898,127.19417,붕어+잉어,25000원,2024-07-16
용 담,저수지,경기도 용인시 처인구 원삼면 사암리 1182-2,37.1888617,127.3069342,붕어+잉어,30000원,2024-07-16
송원,저수지,경기도 용인시 처인구 남사읍 봉무리 678-8,37.1073578,127.1439165,붕어+잉어,(휴업중),2024-07-16
산 장,저수지,경기도 용인시 처인구 양지면 평창리 537-1,37.2257809,127.3220522,붕어+잉어+향어,50000원,2024-07-16
묵 리,저수지,경기도 용인시 처인구 이동읍 묵리 591,37.1760506,127.2327837,붕어+잉어+향어,20000원,2024-07-16
이 동,저수지,경기도 용인시 처인구 이동읍 어비리574-3,37.1259221,127.2040823,붕어+잉어+향어,5000원,2024-07-16
도장골낚시터,평지,경기도 가평군 조종면 대보간선로399번길 63-9,37.806847,127.373369,메기+향어,40000,2024-11-25
산유낚시터,평지,경기도 가평군 가평읍 분자골로 22,37.757527,127.50958,메기+향어,40000,2024-11-25
산수낚시터,평지,경기도 가평군 북면 논남기길 19-35,37.967557,127.459915,송어,30000,2024-11-25
가평낚시터,평지,경기도 가평군 가평읍 가화로 440-95,37.855453,127.510032,송어+메기,30000,2024-11-25
고초골,저수지,경기도 용인시 처인구 원삼면 학일리 104,37.1578429,127.2845366,붕어+잉어+향어,40000원,2024-07-16
통 삼,저수지,경기도 용인시 처인구 남사읍 통삼리 33번지,37.1215841,127.1353062,붕어+잉어,20000원,2024-07-16
용인실내바다낚시터,기타,경기도 용인시 처인구 포곡읍 영문리 82,37.2754097,127.206358,우럭+광어+참돔,40000원,2024-07-16
청춘물고기,기타,"경기도 수원시 팔달구 향교로1번길 22-15, 지하1층",37.2691271,127.0008509,붕어류,"10,000원",2024-03-05
잉어킹낚시카페,기타,"경기도 수원시 팔달구 경수대로446번길 56, 지하1층",37.26502616,127.0294519,잉어류,"10,000원",2024-03-05
도심어부,기타,"경기도 수원시 영통구 영통로 232, 지하1층(영통동, 제2상가동)",37.24841817,127.0584843,가재류,"10,000원",2024-03-05
수원실내낚시터,기타,"경기도 수원시 권선구 권선로 652, 지하1층(권선동)",37.26012603,127.0224305,잉어류,"10,000원",2024-03-05
해적왕실내낚시카페,기타,"경기도 수원시 팔달구 효원로307번길 47, 지하1층(인계동, 문화빌딩)",37.26302406,127.0359218,잉어류,"10,000원",2024-03-05
광탄낚시터,평지,경기도 파주시 광탄면 부흥로 194-42,37.801422,126.867271,붕어+잉어 등,20000원,2024-08-16
발랑낚시터,저수지,경기도 파주시 광탄면 부흥로 596,37.805583,126.908618,붕어+잉어 등,25000원,2024-08-16
직천낚시터,저수지,경기도 파주시 법원읍 만월로 505-89,37.893537,126.921682,붕어+잉어 등,20000원,2024-08-16
금곡낚시터,평지,경기도 파주시 법원읍 술이홀로1372번길 347,37.892585,126.892636,붕어+잉어 등,30000원,2024-08-16
썸피싱카페낚시터,평지,"경기도 파주시 금정18길 20, 지하102호",37.760691,126.775234,붕어+잉어 등,10000원,2024-08-16
자유로낚시터,평지,경기도 파주시 탄현면 엘지로717번길 2-112,37.837204,126.729808,붕어+잉어 등,70000원,2024-08-16
임진낚시캠핑,평지,경기도 파주시 문산읍 임진나루길 178-68,37.888108,126.792855,붕어+잉어 등,25000원,2024-08-16
작은연못낚시터,평지,경기도 파주시 광탄면 방축안길 39-5,37.812219,126.859396,붕어+잉어 등,10000원,2024-08-16
감악산낚시터,평지,경기도 파주시 적성면 감골길 48,37.912155,126.952206,붕어+잉어 등,20000원,2024-08-16
아름낚시터,평지,경기도 파주시 광탄면 부흥로 422,37.803784,126.894003,붕어+잉어 등,20000원,2024-08-16
넘버원애드낚시터,평지,경기도 파주시 법원읍 보광로 1663,37.824024,126.868772,붕어+잉어 등,20000원,2024-08-16
산골낚시터,평지,경기도 파주시 법원읍 만월로613번길 237,37.890303,126.914039,붕어+잉어 등,30000원,2024-08-16
하마낚시터,평지,경기도 파주시 적성면 국사로 297,37.961168,126.869634,붕어+잉어 등,20000원,2024-08-16
문화레저낚시터,평지,경기도 파주시 광탄면 혜음로 1300-45,37.796769,126.850252,붕어+잉어 등,20000원,2024-08-16
원실내바다낚시터,평지,경기도 파주시 산남로107번길 35-139,37.700928,126.694877,붕어+잉어 등,22000원,2024-08-16
매일낚시터,평지,경기도 파주시 광탄면 보광로 898-17,37.776367,126.884338,붕어+잉어 등,10000원,2024-08-16
원동낚시터,저수지,,37.144601,127.091246,붕어+잉어,"(1일)30,000원",2025-06-25
삼미낚시터,저수지,경기도 오산시 외삼미로 30(외삼미동),37.19051,127.054368,"붕어,잉어,향어,메기","(1일)20,000원",2025-06-25
수원 드림바다 실내 낚시터,기타,경기도 오산시 삼미로47번길 24(내삼미동),37.1771766,127.066976,돔+매가리+민어,"(2시간)33,000원+(3시간)44,000원",2025-06-25
용인실내바다낚시터,기타,,37.2754097,127.206358,우럭+광어+참돔,40000원,2024-07-16
통 삼,저수지,,37.1215841,127.1353062,붕어+잉어,20000원,2024-07-16
고초골,저수지,,37.1578429,127.2845366,붕어+잉어+향어,40000원,2024-07-16
이 동,저수지,,37.1259221,127.2040823,붕어+잉어+향어,5000원,2024-07-16
묵 리,저수지,,37.1760506,127.2327837,붕어+잉어+향어,20000원,2024-07-16
산 장,저수지,,37.2257809,127.3220522,붕어+잉어+향어,50000원,2024-07-16
송원,저수지,,37.1073578,127.1439165,붕어+잉어,(휴업중),2024-07-16
용 담,저수지,,37.1888617,127.3069342,붕어+잉어,30000원,2024-07-16
사계절,저수지,,37.1343898,127.19417,붕어+잉어,25000원,2024-07-16
신 원,저수지,,37.1649538,127.2516595,붕어+잉어+향어,60000원,2024-07-16
요덕골,저수지,,37.1373894,127.2199263,붕어+잉어+향어,60000원,2024-07-16
창 리,저수지,,37.1400831,127.1846965,붕어+잉어,80000원,2024-07-16
동 막,저수지,,37.1446296,127.1325699,붕어+잉어+향어,20000원,2024-07-16
아 곡,저수지,,37.131062,127.4165405,붕어+잉어+향어,30000원,2024-07-16
두 창,저수지,,37.1489493,127.3348678,붕어+잉어+향어,25000원,2024-07-16
삼 인,저수지,,37.1583712,127.141521,붕어+잉어,50000원,2024-07-16
상 덕,저수지,,37.2149397,127.1636173,붕어+잉어,20000원,2024-07-16
한 터,저수지,,37.2599235,127.276299,붕어+잉어+향어,20000원,2024-07-16
신 기,저수지,,37.219866,127.1912656,붕어+잉어+향어,40000원,2024-07-16
지곡낚시터,저수지,"경기도 용인시 기흥구 지삼로250번길 65, 뜨레모아 (지곡동)",37.2308,127.135,붕어 등,2만원~15만원,2024-07-16
죠스실내낚시터,기타,경기도 용인시 기흥구 신갈로58번길 17 (신갈동),37.2726,127.1076,잉어 등,1만원~1.2만원,2024-07-16
물어실내바다낚시터,기타,경기도 용인시 처인구 포곡읍 영문로 128,37.27555,127.2063,랍스터,4.4만원,2024-07-16
장계,저수지,,37.040644,17.406525,붕어,낚시터 문의바람,2024-07-17
월향,저수지,경기도 안성시 고삼면 고삼호수로 144-4,37.085938,127.272579,붕어,낚시터 문의바람,2024-07-17
산우물,저수지,경기도 안성시 보개면 남사당로 539-8,37.060386,127.315883,붕어,낚시터 문의바람,2024-07-17
독정,저수지,경기도 안성시 원곡면 원당로 108,37.040221,127.159316,붕어,낚시터 문의바람,2024-07-17
개나리낚시공원,평지,경기도 안성시 삼죽면 개나리길 128,37.050525,127.372127,붕어,낚시터 문의바람,2024-07-17
고삼,저수지,,37.093261,127.289348,붕어,낚시터 문의바람,2024-07-17
관광농원낚시터,평지,경기도 여주시 북내면 중암2길 19-22,37.356465,127.710493,붕어,1일 30000원,2023-08-01
오산낚시터,평지,경기도 여주시 가남읍 양화로 154-23,37.2355128,127.559427,붕어,1일 10000원,2023-08-01
가남낚시터,평지,경기도 여주시 가남읍 건은로 82-67,37.194979,127.544009,붕어+잉어+향어,1일 30000원,2023-08-01
신근낚시터,저수지,경기도 여주시 흥천면 신율로 36,37.308914,127.557689,붕어,1일 10000원,2023-08-01
어우실낚시터,저수지,경기도 여주시 어우실길 65,37.151903,127.6579298,붕어,1일 20000원,2023-08-01
삼합낚시터,저수지,경기도 여주시 점동로650,37.199815,127.726804,붕어,1일 20000원,2023-08-01
금광호수,저수지,경기도 안성시 금광면 진안로 905,36.9898764,127.329794,붕어,낚시터 문의바람,2024-07-17
반제,저수지,경기도 안성시 원곡면 반제호수길 90,37.026444,127.165384,붕어,낚시터 문의바람,2024-07-17
꼴미,저수지,경기도 안성시 고삼면 삼은길 15,37.076432,127.288986,붕어,낚시터 문의바람,2024-07-17
칠곡,저수지,경기도 안성시 원곡면 만세로 1112,37.047548,127.155988,붕어,낚시터 문의바람,2024-07-17
두메,저수지,경기도 안성시 죽산면 두메호수로 90,37.008264,127.428955,붕어,낚시터 문의 바람,2024-07-17
청월,저수지,경기도 안성시 고삼면 고삼호수로 176-29,37.085688,127.277025,붕어,낚시터 문의바람,2024-07-17
연못,저수지,경기도 안성시 고삼면 산양길 22,37.094849,127.289617,붕어,낚시터 문의바람,2024-07-17
성은,저수지,경기도 안성시 원곡면 통심길 16-46,37.071231,127.166836,붕어,낚시터 문의바람,2024-07-17
도곡,저수지,경기도 안성시 양성면 양성로 376-101,37.088009,127.216608,붕어,낚시터 문의바람,2024-07-17
조일,저수지,경기도 안성시 양성면 조일말길 35-19,37.71125,127.212681,붕어,낚시터 문의바람,2024-07-17
만정,저수지,경기도 안성시 공도읍 만수동길 57,37.018111,127.183264,붕어,낚시터 문의바람,2024-07-17
신미골,저수지,경기도 안성시 삼죽면 신미1길 181,37.038116,127.377075,붕어,낚시터 문의 바람,2024-07-17
마둔,저수지,경기도 안성시 금광면 배티로 521,36.974239,127.314235,붕어,낚시터 문의바람,2024-07-17
용설,저수지,경기도 안성시 죽산면 용설호수길 174-13,37.057744,127.444983,붕어,낚시터 문의바람,2024-07-17
노곡,저수지,경기도 안성시 양성면 안성맞춤대로 2184-5,37.106131,127.253152,붕어,낚시터 문의바람,2024-07-17
농촌지,저수지,경기도 안성시 발화대길 221 (발화동),36.983539,127.284644,붕어,낚시터 문의바람,2024-07-17
덕산,저수지,경기도 안성시 삼죽면 덕산호수길 87,37.076725,127.366471,붕어,낚시터 문의 바람,2024-07-17
미산,저수지,경기도 안성시 양성면 미리내성지로 299-8,37.129984,127.257803,붕어,낚시터 문의바람,2024-07-17
동신곡,저수지,경기도 안성시 금광면 동신곡길 52,37.009422,127.331959,붕어,낚시터 문의바람,2024-07-17
장광,저수지,경기도 안성시 죽산면 관앞길 103-6,37.097851,127.429726,붕어,낚시터 문의바람,2024-07-17
명인,저수지,경기도 안성시 원곡면 새울길 87-12,37.071332,127.212969,붕어,낚시터 문의바람,2024-07-17
성주리,저수지,경기도 안성시 원곡면 원암로 194-93,37.082602,127.176224,붕어,낚시터 문의바람,2024-07-17
덕봉,저수지,경기도 안성시 양성면 덕봉서원로 601-76,37.052552,127.187616,붕어,낚시터 문의바람,2024-07-17
참샘,평지,경기도 안성시 원곡면 지문북길 98,37.067592,127.151253,붕어,낚시터 문의바람,2024-07-17
거청,저수지,경기도 안성시 대덕면 배꽃길 16,37.026031,127.240801,붕어,낚시터 문의바람,2024-07-17
묵리낚시터,저수지,경기도 용인시 처인구 이동읍 이원로 375,37.17612,127.2327,붕어,2만원~4만원,2024-07-16
용담낚시터,저수지,,37.18648,127.3066,붕어,2.5만원,2024-07-16
사계절낚시터,저수지,경기도 용인시 처인구 이동읍 경기동로742번길 56,37.13456,127.1942,붕어,2.5만원,2024-07-16
신원낚시터,저수지,,37.78644,127.2248,붕어,4만원~5만원,2024-07-16
두창낚시터,저수지,경기도 용인시 처인구 원삼면 두창호수로 105,37.14909,127.3349,붕어,2만원~5만원,2024-07-16
삼인낚시터,저수지,,37.15722,127.1425,붕어,4만원~5만원,2024-07-16
이동내수면어업계 낚시터,저수지,경기도 용인시 처인구 이동읍 경기동로842번길 15,37.1261,127.2041,붕어+잉어,4만원~5만원,2024-07-16
요덕골낚시터,저수지,,37.13821,127.22,붕어,3만원~5만원,2024-07-16
상덕낚시터,저수지,경기도 용인시 처인구 이동읍 상덕로 68-2,37.21537,127.1644,향어,2만원,2024-07-16
산장낚시터,저수지,,37.22594,127.3221,붕어,2만원~3만원,2024-07-16
동막낚시터,저수지,,37.14471,127.1326,붕어,2.5만원,2024-07-16
통삼낚시터,저수지,,37.12172,127.1354,붕어,2만원,2024-07-16
신기낚시터,저수지,경기도 용인시 처인구 신기로42번길 146,37.22014,127.1912,붕어,3만원,2024-07-16
아곡낚시터,저수지,,37.13117,127.4166,붕어,3만원,2024-07-16
고초골낚시터,저수지,,37.15746,127.2836,붕어,1.5만원~3만원,2024-07-16
창리낚시터,저수지,경기도 용인시 처인구 남사읍 경기동로518번길 56,37.14009,127.1847,붕어,2만원,2024-07-16
한터낚시터,저수지,경기도 용인시 처인구 양지면 한터로662번길 10,37.25983,127.2766,향어,1만원~3만원,2024-07-16
아마존실내낚시터,기타,"경기도 부천시 원미구 부흥로 404, 지하1층",37.4896579,126.78513,"붕어, 비단잉어, 송어 등","남:1만1천, 여:1만, 청소년이하:8천, 커플:1만8천",2024-07-17
한일낚시터,저수지,경기도 광주시 도척면 옛진말길 63-1,37.326982,127.329585,붕어+잉어,30000,2025-05-31
추곡낚시터,저수지,경기도 광주시 도척면 추곡길 91,37.280897,127.285867,붕어+향어+잉어+메기,30000,2025-05-31
진우낚시터,저수지,경기도 광주시 도척면 저수지길 182,37.311647,127.351043,붕어+잉어,30000,2025-05-31
양벌낚시터,저수지,경기도 광주시 양촌길 218,37.369619,127.258023,붕어+잉어,30000,2025-05-31
원실내바다낚시터,평지,경기도 양주시 율정로165번길 74-11 (율정동),37.82484,127.1062,붕어 등,"25,000원",2023-11-30
피쉬실내바다낚시터,기타,경기도 평택시 포승읍 고렴1길 35,37.0540876,126.92064,"우럭, 광어 등","[주간]3시간 : 44,000원6시간 : 66,000원[야간]4시간 : 44,000원7시간 : 66,000원",2024-05-31
안중락실내바다낚시터,기타,경기도 평택시 안중읍 서동대로 1758,36.9919455,126.944868,"우럭, 강도다리, 감성돔 등","3시간 44,000원6시간 66,000원8시간 77,000원",2024-05-31
낚시 훈련소,기타,경기도 평택시 문화촌로 9,36.996613,127.113874,"잉어, 향어 등","1시간 11,000원 (성인)1시간 11,000원 (중고생)1시간  9,000원 (초등생)",2024-05-31
덕목리205낚시터,평지,경기도 평택시 덕목5길 117-1,36.9542,126.969356,붕어+잉어,"1일 20000원 (평일, 휴일)",2024-05-31
고현낚시터,평지,경기도 평택시 고현길 38-48,37.130793,127.096181,붕어+잉어,"1일 15,000원 (08:00~18:00)1일 10,000원 (19:00~23:00)",2024-05-31
동막낚시터,저수지,경기도 평택시 동막길 127,37.074396,127.096081,붕어+잉어,"1일 10000원 (평일, 휴일)",2024-05-31
울성낚시터,저수지,경기도 평택시 울성길 237-20,37.016293,127.05912,붕어+잉어,"1일 15000원 (평일, 휴일)",2024-05-31
고잔낚시터,저수지,경기도 평택시 청북읍 고잔리 1-1,37.067541,126.909627,붕어+잉어,"1일 20,000원 (평일)1일 25,000원 (휴일)",2024-05-31
월곡낚시터,저수지,경기도 평택시 관동길 20,37.021253,127.130075,붕어+잉어,"1일 10000원 (평일, 휴일)",2024-05-31
오즈실내바다 낚시터,평지,경기도 남양주시 진접읍 경복대로 485,37.7384,127.2151,-,"77,000",2025-03-19
과림 낚시터,저수지,경기도 시흥시 과림저수지길 79,37.45313,126.82729,붕어+잉어,1일 30000원,2024-12-05
금이 낚시터,저수지,경기도 시흥시 금이진말길 159,37.39915,126.8295,붕어+잉어,1일 30000원,2024-12-05
뒷방울 낚시터,저수지,경기도 시흥시 뒷방울길 147,37.37137,126.74866,붕어+잉어,1일 30000원+(겨울)20000원,2024-12-05
청용 낚시터,저수지,경기도 시흥시 청룡저수지길 216,37.42252,126.76005,붕어+잉어,1일 30000원,2024-12-05
달월 낚시터,저수지,경기도 시흥시 군자로 125-39,37.37245,126.77062,붕어+잉어,1일 (손맛터)20000원+(잡이터)30000원,2024-12-05
칠리제 낚시터,저수지,경기도 시흥시 수인로 2564-8,37.40337,126.84862,붕어+잉어,1일 30000원,2024-12-05
샘골 낚시터,평지,경기도 시흥시 신흥마을5길 32-21,37.43943,126.77225,붕어+잉어,1일 15000원,2024-12-05
한탄강 낚시터,평지,경기도 시흥시 수인로 2495-1,37.3995,126.85366,붕어+잉어,1일 20000원,2024-12-05
약수 낚시터,평지,경기도 시흥시 동서로 989-32,37.38157,126.85253,붕어+잉어,(평일)10000원+(휴일)20000원,2024-12-05
계수 낚시터,평지,경기도 시흥시 구미1길 33,37.4516,126.80476,붕어+잉어,1일 10000원,2024-12-05
쉼터 낚시터,평지,경기도 시흥시 하중로 281,37.38821,126.80687,붕어+잉어,(평일)10000원+(휴일)15000원,2024-12-05
능곡 낚시터,평지,경기도 시흥시 시흥대로268번길 50-28,37.36146,126.81064,붕어+잉어,(평일)10000원+(휴일)20000원,2024-12-05
군자 낚시터,평지,경기도 시흥시 시흥대로216-18,37.35995,123.80808,붕어+잉어,1일 10000원,2024-12-05
산정 낚시터,평지,경기도 시흥시 피울길 173,37.36794,126.82918,붕어+잉어,1일 10000원,2024-12-05
까치 낚시터,평지,경기도 시흥시 수인로2107번길 146,37.36734,126.86603,붕어+잉어,1일 10000원,2024-12-05
달월사계절 낚시터,평지,경기도 시흥시 군자로 125-5,37.37326,126.76863,붕어+잉어,1일 10000원,2024-12-05
새미 낚시터,평지,,37.37363,126.86493,붕어+잉어,1일 10000원,2024-12-05
시흥드림바다 낚시터,기타,경기도 시흥시 황고개로293번길 7,37.35766,126.78533,광어,"2시간 33,000원+ 4시간 55,000원",2024-12-05
신천자연 낚시터,평지,경기도 시흥시 두문로71번길 18-5,37.43211,126.78494,붕어+잉어,1일 10000원,2024-12-05
왕골낚시터,평지,,37.36567,126.85757,붕어+잉어,1일 10000원,2024-12-05
지오낚시터,기타,경기도 연천군 군남면 청정로 2060,38.04319586,127.0296004,송어+메기,30000원,2024-07-31
삼화리낚시터,저수지,경기도 연천군 미산면 삼화2길 96,38.01270377,126.9767416,붕어,30000원,2024-07-31
양원리낚시터,저수지,경기도 연천군 전곡읍 양원로 108-37,37.98743059,127.021049,메기,30000원,2024-07-31
전곡낚시터,저수지,경기도 연천군 군남면 오리골길 124,38.03704578,127.03402,송어+메기,30000원,2024-07-31
한탄강낚시터,기타,경기도 연천군 전곡읍 평화로495번길 16-31,38.01517959,127.0675997,붕어,30000원,2024-07-31
백학낚시터,저수지,경기도 연천군 백학면 저수지길 21,38.032232,126.9250483,붕어+잉어,25000원,2024-07-31
조치원낚시터,평지,세종시 전동면 전동로 245,36.672891,127.269954,붕어,0,2023-03-16
잡아잡아낚시카페,기타,세종시 조치원읍 새내16길 28,36.604395,127.298527,기타,0,2023-03-16
용천농장낚시터,평지,세종시 금남면 황토고개길 80-10,36.453638,127.233773,붕어,0,2023-03-16
